type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,10.1,0.31,0.35,1.6,0.075,9.0,28.0,0.997,3.24,0.83,11.2,7
red,7.0,0.28,0.2,17.0,0.044,47.0,92.0,0.999,3.11,0.38,10.8,5
red,8.2,0.48,0.47,7.4,0.091,2.7,149.26,0.994,3.45,0.74,10.9,8
red,6.8,0.56,0.63,6.4,0.129,34.69,168.39,0.995,3.36,0.78,10.1,3
red,8.0,0.74,0.25,8.3,0.006,27.26,6.86,0.994,3.64,0.56,9.8,3
red,8.2,0.43,0.31,3.7,0.167,27.48,67.29,0.992,3.54,0.36,9.6,3
red,9.8,0.25,0.24,4.4,0.085,30.38,71.1,0.997,3.18,0.49,9.5,3
red,6.9,0.74,0.03,2.3,0.054,7.0,16.0,0.995,3.45,0.63,11.5,6
red,9.4,0.69,0.15,7.3,0.061,20.03,177.41,0.994,3.2,0.6,9.1,3
red,7.1,0.42,0.46,3.1,0.041,31.42,56.6,0.993,2.97,1.08,12.8,8
red,7.3,0.19,0.49,10.8,0.038,22.76,124.24,0.993,2.97,0.56,10.9,3
red,8.9,0.76,0.07,10.5,0.008,1.45,50.34,0.993,3.2,0.4,10.9,3
red,7.7,0.2,0.33,9.8,0.063,1.45,173.95,0.994,3.4,0.47,10.9,3
red,5.6,0.64,0.23,7.6,0.097,27.96,39.2,0.994,3.35,0.57,12.2,3
red,7.8,0.32,0.09,8.3,0.081,32.0,147.0,0.993,3.2,0.55,10.3,4
red,7.4,0.51,0.47,5.7,0.031,12.63,35.63,0.996,3.38,0.7,10.9,3
red,8.0,0.42,0.25,2.1,0.052,32.0,113.0,0.994,3.37,0.36,10.6,5
red,7.2,0.19,0.6,2.4,0.063,14.24,25.71,0.997,3.24,0.85,11.4,3
red,4.3,0.06,0.3,6.0,0.059,25.36,202.62,0.994,3.32,0.76,9.4,3
red,9.8,0.49,0.08,0.9,0.042,6.12,211.21,1.0,3.17,0.6,10.1,3
red,6.7,0.08,0.17,3.4,0.096,37.99,169.07,0.998,2.95,0.35,11.5,3
red,6.5,0.73,0.67,9.2,0.106,47.44,84.99,0.991,3.15,0.72,9.2,3
red,6.2,0.27,0.28,4.8,0.097,13.77,62.73,0.998,3.57,0.55,10.8,3
red,6.4,0.63,0.04,8.9,0.094,41.35,61.58,0.997,3.09,0.63,10.2,3
red,6.5,0.17,0.31,3.3,0.065,6.42,24.78,0.994,3.41,0.63,8.9,8
red,10.7,0.81,0.24,10.2,0.195,2.22,76.8,0.993,3.57,0.43,10.2,7
red,9.4,0.67,0.04,4.6,0.076,30.85,147.02,0.999,3.22,0.82,11.7,8
red,5.8,0.49,0.12,8.3,0.089,19.92,111.74,0.997,3.27,0.56,8.4,3
red,7.5,0.59,0.49,5.7,0.066,52.01,72.51,0.993,3.41,0.86,12.5,8
red,7.4,0.36,0.06,0.5,0.045,13.96,82.07,0.999,3.43,0.6,11.1,3
red,7.8,0.58,0.46,0.5,0.043,5.79,10.19,0.995,3.37,0.91,12.0,8
red,7.0,0.67,0.1,9.4,0.071,41.28,15.32,0.996,3.28,0.56,10.7,3
red,6.4,0.33,0.15,8.1,0.151,22.92,171.03,0.998,3.25,0.26,13.0,4
red,6.5,0.47,0.28,5.0,0.073,2.37,112.5,0.992,3.12,0.76,14.0,8
red,8.4,0.13,0.1,7.0,0.006,12.54,171.84,0.995,2.94,0.35,11.6,3
red,8.0,0.5,0.46,4.4,0.006,4.54,118.69,0.999,3.19,0.66,10.8,3
red,9.4,0.47,0.29,5.8,0.006,13.99,189.36,0.996,3.23,0.55,9.7,3
red,9.3,0.48,0.02,7.2,0.078,24.03,114.81,0.995,3.42,0.46,12.8,8
red,6.4,0.13,0.12,4.0,0.063,19.07,109.62,0.995,3.09,0.43,11.2,4
red,6.6,0.2,0.02,7.8,0.055,12.12,10.19,0.998,3.01,0.56,11.0,8
red,9.4,0.27,0.34,0.5,0.055,2.37,10.19,0.991,3.18,0.8,11.8,8
red,5.3,0.35,0.22,14.9,0.021,48.0,112.0,0.995,3.3,0.75,8.4,5
red,5.8,0.61,0.19,5.7,0.07,23.65,98.47,0.991,3.16,0.84,14.1,8
red,8.4,0.59,0.77,0.4,0.079,12.01,151.35,0.994,3.18,0.66,10.0,7
red,11.2,0.84,0.32,1.8,0.045,2.37,125.31,0.994,3.42,0.88,9.8,8
red,9.0,0.43,0.09,5.2,0.066,23.5,44.46,0.991,3.36,0.81,10.9,8
red,9.4,0.55,0.26,4.7,0.033,24.49,63.13,0.999,3.54,0.69,10.2,8
red,8.4,0.1,0.0,5.0,0.038,9.0,110.0,0.988,3.3,0.71,10.0,5
red,10.0,0.46,0.46,4.2,0.084,45.15,40.86,0.997,3.03,0.41,14.1,8
red,9.1,0.38,0.18,3.4,0.033,3.29,76.62,0.989,3.34,0.42,12.7,5
red,6.8,0.39,0.12,3.8,0.084,21.62,153.24,0.996,3.29,0.43,9.2,3
red,6.7,0.12,0.61,8.3,0.031,6.11,60.48,0.994,3.26,0.71,12.2,8
red,7.6,0.79,0.21,2.3,0.087,21.0,68.0,0.996,3.12,0.44,9.2,5
red,7.3,0.34,0.33,2.5,0.064,21.0,37.0,0.995,3.35,0.77,12.1,7
red,8.0,1.18,0.21,1.9,0.083,14.0,41.0,0.995,3.34,0.47,10.5,5
red,8.9,0.74,0.58,4.5,0.135,32.02,128.04,0.993,3.37,0.51,12.2,3
red,8.0,0.31,0.53,10.9,0.123,35.0,136.0,0.996,3.33,0.45,10.7,7
red,12.7,0.42,0.25,2.8,0.035,47.82,73.85,0.992,3.08,0.73,13.0,8
red,9.5,0.2,0.46,2.4,0.068,38.02,34.63,0.999,3.06,0.61,8.8,6
red,7.2,0.36,0.27,6.4,0.118,30.0,157.0,0.998,2.96,0.67,10.4,4
red,6.7,0.06,0.33,6.8,0.086,1.66,6.86,0.997,3.61,0.73,10.4,3
red,6.5,0.61,0.16,5.9,0.096,4.25,225.14,0.998,3.19,0.3,9.3,3
red,10.0,0.18,0.18,3.8,0.006,1.45,136.47,0.994,3.55,0.42,12.2,3
red,4.7,0.2,0.49,1.5,0.066,24.96,70.73,0.992,3.44,0.65,12.5,8
red,8.1,0.45,0.36,2.6,0.068,29.18,38.53,0.997,3.46,0.63,12.1,4
red,8.1,0.6,0.3,1.6,0.043,20.51,13.0,0.998,3.1,0.63,12.5,8
red,7.2,0.76,0.61,2.3,0.058,1.45,106.4,0.994,3.19,0.52,10.9,3
red,7.0,0.06,0.41,10.5,0.084,25.06,140.13,0.989,3.18,0.53,8.7,3
red,7.5,0.26,0.16,0.5,0.089,29.65,61.17,0.995,3.32,0.62,11.0,8
red,8.5,0.63,0.09,4.2,0.102,24.8,172.32,0.994,3.27,0.59,12.4,6
red,6.6,0.28,0.18,0.8,0.009,34.0,129.0,0.992,3.42,0.57,11.9,5
red,10.3,0.39,0.33,8.6,0.094,34.29,117.52,0.997,3.04,0.72,13.9,8
red,8.3,0.4,0.67,7.3,0.038,36.33,79.33,0.994,3.46,0.62,11.5,3
red,6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.997,3.46,0.5,11.0,5
red,7.6,0.3,0.42,2.0,0.052,6.0,24.0,0.996,3.44,0.82,11.9,6
red,7.4,0.44,0.43,6.4,0.092,18.15,10.19,0.991,3.06,0.64,13.9,8
red,9.4,0.37,0.15,6.4,0.1,32.15,102.48,0.999,3.2,0.34,10.0,3
red,9.0,0.32,0.25,7.3,0.045,25.03,173.37,0.996,3.02,0.63,10.0,3
red,8.6,0.08,0.33,5.3,0.006,1.45,178.33,0.995,3.29,0.5,11.6,3
red,7.5,0.84,0.29,0.5,0.132,32.39,93.47,0.996,3.51,0.55,11.9,3
red,7.0,0.34,0.39,2.7,0.107,21.18,13.3,0.998,3.2,0.44,10.3,3
red,10.2,0.41,0.32,0.5,0.058,2.78,10.19,0.993,2.91,0.87,11.9,8
red,6.6,1.11,0.39,4.0,0.006,27.72,76.48,0.998,3.02,0.66,9.9,3
red,7.9,0.32,0.0,2.2,0.052,13.4,121.34,0.992,3.08,0.71,11.4,3
red,7.8,0.82,0.01,2.6,0.074,48.0,90.0,0.996,3.38,0.62,10.8,5
red,8.4,0.52,0.18,8.4,0.073,28.83,102.46,0.995,3.27,0.71,11.3,3
red,6.3,0.64,0.38,7.2,0.167,12.37,61.25,0.995,3.46,0.35,11.7,6
red,8.7,0.45,0.67,9.9,0.059,5.44,36.83,0.994,3.55,0.5,10.6,3
red,5.8,0.51,0.05,6.1,0.012,45.74,147.53,0.996,3.2,0.4,10.3,3
red,9.3,0.28,0.26,0.5,0.043,41.12,160.83,0.995,3.16,0.54,10.9,3
red,6.8,0.25,0.26,4.3,0.059,27.0,119.0,0.994,3.35,0.37,10.7,5
red,7.2,0.14,0.3,5.2,0.073,33.87,215.61,0.991,3.2,0.42,10.7,3
red,6.9,0.53,0.3,2.3,0.006,13.4,112.32,0.998,2.93,0.47,10.6,3
red,9.5,0.49,0.38,2.5,0.087,5.22,59.58,0.993,3.14,0.66,10.4,8
red,5.1,0.88,0.2,5.2,0.091,9.85,60.0,0.991,3.44,0.72,9.7,4
red,9.1,0.12,0.07,3.8,0.116,15.08,108.62,0.994,3.39,0.46,9.7,3
red,8.5,0.48,0.33,1.0,0.067,33.48,10.19,0.992,3.14,0.7,8.6,8
red,10.2,1.2,0.4,0.5,0.009,21.91,78.78,0.996,3.28,0.37,11.0,3
red,4.9,0.46,0.34,0.4,0.003,0.07,93.3,0.995,3.42,0.82,11.3,5
red,5.9,0.92,0.0,2.4,0.177,11.7,101.58,0.999,3.24,0.59,9.7,3
