type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_binned,Predicted_Quality
1,8.0,0.33,0.32,4.6,0.041,31.0,180.0,0.992,2.92,0.74,12.2,6,Medium Quality,Medium Quality
1,5.6,0.35,0.21,11.3,0.037,42.0,131.0,0.996,3.17,0.65,11.5,5,Medium Quality,High Quality
0,10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.998,3.17,0.47,10.0,5,Medium Quality,Medium Quality
1,6.0,0.33,0.38,9.7,0.04,29.0,124.0,0.995,3.47,0.48,11.0,6,Medium Quality,High Quality
0,7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.998,3.61,0.96,9.9,6,Medium Quality,Medium Quality
1,5.7,0.21,0.33,9.2,0.047,27.0,173.0,0.996,3.14,0.71,10.6,4,Medium Quality,Medium Quality
0,7.4,0.34,0.26,9.9,0.036,41.0,82.0,0.991,3.38,0.49,9.3,5,Medium Quality,Medium Quality
1,6.4,0.26,0.21,7.1,0.04,35.0,162.0,0.996,3.39,0.58,9.9,6,Medium Quality,Medium Quality
1,7.2,0.2,0.28,1.6,0.028,13.0,168.0,0.992,3.17,1.06,11.5,6,Medium Quality,Medium Quality
1,7.0,0.39,0.24,1.0,0.048,8.0,119.0,0.992,3.0,0.31,10.1,4,Medium Quality,Medium Quality
1,6.7,0.13,0.28,1.2,0.046,35.0,140.0,0.993,3.33,0.33,10.1,7,Medium Quality,Medium Quality
1,7.2,0.31,0.24,1.4,0.057,17.0,117.0,0.993,3.16,0.35,10.5,5,Medium Quality,Medium Quality
1,6.3,0.7,0.55,12.9,0.056,58.0,252.0,0.998,3.29,0.49,8.7,5,Medium Quality,Medium Quality
1,6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.994,3.11,0.36,9.4,6,Medium Quality,Medium Quality
0,6.9,0.21,0.23,3.2,0.041,5.0,107.0,0.998,3.5,0.76,11.5,5,Medium Quality,High Quality
1,6.3,0.33,0.27,1.2,0.046,34.0,175.0,0.993,3.37,0.54,9.4,6,Medium Quality,Medium Quality
0,7.3,0.41,0.46,5.4,0.076,37.0,84.0,0.997,3.26,0.37,10.1,5,Medium Quality,Medium Quality
0,9.4,0.41,0.48,4.6,0.072,10.0,20.0,0.997,3.34,0.79,12.2,7,Medium Quality,High Quality
0,7.3,0.46,0.27,10.2,0.054,56.0,148.0,0.994,3.13,0.34,12.1,4,Medium Quality,Medium Quality
1,6.5,0.32,0.23,1.2,0.054,39.0,208.0,0.993,3.18,0.46,9.9,6,Medium Quality,Medium Quality
1,7.4,0.17,0.4,5.5,0.037,34.0,161.0,0.994,3.05,0.62,11.5,4,Medium Quality,Medium Quality
1,7.1,0.26,0.37,5.5,0.025,31.0,105.0,0.991,3.06,0.33,12.6,8,High Quality,High Quality
0,10.6,0.44,0.68,4.1,0.114,6.0,24.0,0.997,3.06,0.66,13.4,6,Medium Quality,Medium Quality
0,7.8,0.42,0.26,4.0,0.053,45.0,33.0,0.997,3.26,0.44,12.4,6,Medium Quality,Medium Quality
